deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.006250 0.595313 0.985192 
0.006250 0.600000 0.984999 
0.006250 0.604687 0.984804 
0.006250 0.609375 0.984607 
0.006250 0.614062 0.984408 
0.006250 0.618750 0.984208 
0.006250 0.623437 0.984006 
0.006250 0.628125 0.983803 
0.006250 0.632812 0.983597 
0.006250 0.637500 0.983390 
0.006250 0.642188 0.983182 
0.006250 0.646875 0.982972 
0.006250 0.651562 0.982759 
0.006250 0.656250 0.982546 
0.006250 0.660937 0.982330 
0.006250 0.665625 0.982113 
0.006250 0.670312 0.981894 
0.006250 0.675000 0.981673 
0.006250 0.679688 0.981451 
0.006250 0.684375 0.981226 
0.006250 0.689063 0.981000 
0.006250 0.693750 0.980772 
0.006250 0.698437 0.980542 
0.006250 0.703125 0.980311 
0.006250 0.707812 0.980077 
0.006250 0.712500 0.979842 
0.006250 0.717187 0.979605 
0.006250 0.721875 0.979366 
0.006250 0.726562 0.979125 
0.006250 0.731250 0.978882 
0.006250 0.735938 0.978637 
0.006250 0.740625 0.978390 
0.006250 0.745312 0.978142 
0.006250 0.750000 0.977891 
0.006250 0.754687 0.977639 
0.006250 0.759375 0.977384 
0.006250 0.764062 0.977128 
0.006250 0.768750 0.976870 
0.006250 0.773438 0.976609 
0.006250 0.778125 0.976347 
0.006250 0.782813 0.976082 
0.006250 0.787500 0.975816 
0.006250 0.792187 0.975547 
0.006250 0.796875 0.975277 
0.006250 0.801562 0.975004 
0.006250 0.806250 0.974729 
0.006250 0.810937 0.974452 
0.006250 0.815625 0.974173 
0.006250 0.820312 0.973892 
0.006250 0.825000 0.973609 
0.006250 0.829688 0.973324 
0.006250 0.834375 0.973036 
0.006250 0.839062 0.972746 
0.006250 0.843750 0.972454 
0.006250 0.848437 0.972160 
0.006250 0.853125 0.971864 
0.006250 0.857812 0.971565 
0.006250 0.862500 0.971264 
0.006250 0.867188 0.970961 
0.006250 0.871875 0.970656 
0.006250 0.876563 0.970348 
0.006250 0.881250 0.970038 
0.006250 0.885937 0.969726 
0.006250 0.890625 0.969411 
0.006250 0.895312 0.969094 
0.006250 0.900000 0.968774 
0.006250 0.904687 0.968453 
0.006250 0.909375 0.968128 
0.006250 0.914062 0.967802 
0.006250 0.918750 0.967472 
0.006250 0.923437 0.967141 
0.006250 0.928125 0.966807 
0.006250 0.932812 0.966471 
0.006250 0.937500 0.966132 
0.006250 0.942187 0.965790 
0.006250 0.946875 0.965446 
0.006250 0.951562 0.965099 
0.006250 0.956250 0.964750 
0.006250 0.960938 0.964398 
0.006250 0.965625 0.964044 
0.006250 0.970312 0.963687 
0.006250 0.975000 0.963327 
0.006250 0.979687 0.962965 
0.006250 0.984375 0.962600 
0.006250 0.989062 0.962232 
0.006250 0.993750 0.961862 
0.006250 0.998437 0.961489 
0.006250 1.003125 0.961113 
0.006250 1.007812 0.960734 
0.006250 1.012500 0.960353 
0.006250 1.017187 0.959969 
0.006250 1.021875 0.959582 
0.006250 1.026563 0.959192 
0.006250 1.031250 0.958799 
0.006250 1.035937 0.958403 
0.006250 1.040625 0.958004 
0.006250 1.045312 0.957603 
0.006250 1.050000 0.957198 
0.006250 1.054688 0.956790 
0.006250 1.059375 0.956380 
0.006250 1.064062 0.955966 
0.006250 1.068750 0.955549 
0.006250 1.073438 0.955130 
0.006250 1.078125 0.954707 
0.006250 1.082812 0.954281 
0.006250 1.087500 0.953852 
0.006250 1.092187 0.953419 
0.006250 1.096875 0.952984 
0.006250 1.101562 0.952545 
0.006250 1.106250 0.952103 
0.006250 1.110937 0.951658 
0.006250 1.115625 0.951209 
0.006250 1.120313 0.950757 
0.006250 1.125000 0.950302 
0.006250 1.129687 0.949843 
0.006250 1.134375 0.949381 
0.006250 1.139062 0.948916 
0.006250 1.143750 0.948447 
0.006250 1.148438 0.947974 
0.006250 1.153125 0.947498 
0.006250 1.157812 0.947019 
0.006250 1.162500 0.946535 
0.006250 1.167188 0.946049 
0.006250 1.171875 0.945558 
0.006250 1.176562 0.945064 
0.006250 1.181250 0.944566 
0.006250 1.185937 0.944065 
0.006250 1.190625 0.943560 
0.006250 1.195312 0.943050 
0.006250 1.200000 0.942537 
0.009375 0.004687 0.999055 
0.009375 0.009375 0.999012 
0.009375 0.014062 0.998970 
0.009375 0.018750 0.998926 
0.009375 0.023438 0.998881 
0.009375 0.028125 0.998835 
0.009375 0.032813 0.998789 
0.009375 0.037500 0.998741 
0.009375 0.042187 0.998693 
0.009375 0.046875 0.998644 
0.009375 0.051562 0.998594 
0.009375 0.056250 0.998542 
0.009375 0.060937 0.998490 
0.009375 0.065625 0.998438 
0.009375 0.070312 0.998384 
0.009375 0.075000 0.998329 
0.009375 0.079687 0.998273 
0.009375 0.084375 0.998217 
0.009375 0.089063 0.998159 
0.009375 0.093750 0.998101 
0.009375 0.098437 0.998041 
0.009375 0.103125 0.997981 
0.009375 0.107812 0.997919 
0.009375 0.112500 0.997857 
0.009375 0.117188 0.997794 
0.009375 0.121875 0.997729 
0.009375 0.126562 0.997664 
0.009375 0.131250 0.997598 
0.009375 0.135937 0.997531 
0.009375 0.140625 0.997463 
0.009375 0.145312 0.997393 
0.009375 0.150000 0.997323 
0.009375 0.154688 0.997252 
0.009375 0.159375 0.997180 
0.009375 0.164062 0.997106 
0.009375 0.168750 0.997032 
0.009375 0.173437 0.996957 
0.009375 0.178125 0.996881 
